"PSY_CODE","CLASS_CODE","PSY_ORD_TARGET","PSY_ORD_NO","PSY_NAME","PSY_URL","START_DATE","END_DATE","ORIGINAL_END_DATE","LONGITUDINAL_YN","CLOSE_YN","USE_YN","USE_CNT","USE_DATE","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
P20250716D987,AC000120256016589,,P250708043436e55f5e5,"25년 7월 4회차",P20250716D987-AC000120256016589,"20250716","20250731",,Y,N,,0,,,M10000001,"2025-07-16 11:01:21",,
P20250716FB11,M100000682025602CF1C,,P250716000635f1221b6,시험용,P20250716FB11-M100000682025602CF1C,"20250716","20250721",,Y,N,,0,,,M10000068,"2025-07-16 14:22:04",,
P20250717511A,M10000057202540309B8,,P250714113730f3bb555,"25년 7월 1회차",P20250717511A-M10000057202540309B8,"20250716","20250718",,Y,N,,0,,,M10000057,"2025-07-17 16:54:48",,
P2025071756D9,AC043020255054C28,,P250717165519cd60626,"25년 7월 1회차",P2025071756D9-AC043020255054C28,"20250706","20250731",,Y,N,,0,,,M10000058,"2025-07-17 16:58:09",,
P202507178C27,M100000752025503FD16,,P250717091647e996d83,"25년 7월 2회차",P202507178C27-M100000752025503FD16,"20250717","20250718",,Y,Y,,0,,,M10000075,"2025-07-17 09:23:54",,
P202507178D3F,M1000007620253011B87,,P250717161201bc2578f,"25년 7월 1회차",P202507178D3F-M1000007620253011B87,"20250715","20250730",,Y,N,,0,,,M10000076,"2025-07-17 16:13:24",,
P20250717C808,AC0002202560151A3,,P2507171036170e01b84,"25년 7월 1회차",P20250717C808-AC0002202560151A3,"20250716","20250724",,Y,N,,0,,,M10000003,"2025-07-17 10:37:42",,
P20250717EE78,M100000752025503FD16,,P250717091647e996d83,"25년 7월 1회차",P20250717EE78-M100000752025503FD16,"20250717","20250717",,Y,N,,0,,,M10000075,"2025-07-17 09:23:19",,
P202507183B0A,AC000120255019FA1,,P2507150043264c9256b,"25년 7월 2회차_이아린비활",P202507183B0A-AC000120255019FA1,"20250718","20250731",,Y,Y,,0,,,M10000001,"2025-07-18 16:16:14",,
P202507185B99,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 9회차",P202507185B99-AC0001202530101AF,"20250716","20250720",,Y,N,,0,,,M10000001,"2025-07-18 12:04:25",,
P20250718B4BE,AC000120255019FA1,,P2507150043264c9256b,"25년 7월 1회차",P20250718B4BE-AC000120255019FA1,"20250718","20250731",,Y,Y,,0,,,M10000001,"2025-07-18 11:44:25",,
P20250718C707,AC0001202530101AF,,P2507041007510da4ac5,"25년 7월 8회차",P20250718C707-AC0001202530101AF,"20250717","20250719",,Y,N,,0,,,M10000001,"2025-07-18 12:03:49",,
P20250719AB51,DC02362025602872F,,P250719160644bffdded,"25년 7월 1회차",P20250719AB51-DC02362025602872F,"20250719","20250726",,Y,N,,0,,,M10000080,"2025-07-19 16:16:09",,
